27-Apr-20,,,,,,,,,,,
"State and Local General Expenditures, Per Capita, FY 2016",,,,,,,,,,,
[Dollars],,,,,,,,,,,
,,,,,,,,,,,
,,,Direct,,,,,,,,
,,,,Elementary,,,,,,,Exhibit:
Region and State,,Inter-,,and Secondary,Higher,Public,Health and,,,All,Population [1]
,Total,governmental,Total,Education,Education,Welfare,Hospitals,Highways,Police,Other,(Thousands)
,,,,,,,,,,,
United States .................................................................................,"9,175    ",10    ,"9,165    ","1,961    ",892    ,"2,020    ",858    ,551    ,338    ,"2,546    ","323,071    "
,,,,,,,,,,,
New England.................................................................................,"10,168    ",2    ,"10,167    ","2,323    ",807    ,"2,440    ",455    ,623    ,345    ,"3,173    ","14,759    "
Connecticut.................................................................................,"9,717    ",--    ,"9,717    ","2,637    ",941    ,"1,077    ",658    ,719    ,349    ,"3,337    ","3,579    "
Maine.................................................................................,"8,536    ",--    ,"8,536    ","1,821    ",611    ,"2,385    ",337    ,756    ,218    ,"2,408    ","1,331    "
Massachusetts.................................................................................,"11,027    ",1    ,"11,027    ","2,268    ",761    ,"3,202    ",444    ,563    ,369    ,"3,420    ","6,826    "
New Hampshire.................................................................................,"8,039    ",--    ,"8,039    ","2,178    ",734    ,"1,683    ",148    ,534    ,293    ,"2,469    ","1,342    "
Rhode Island.................................................................................,"10,063    ",17    ,"10,045    ","2,284    ",646    ,"2,818    ",281    ,427    ,416    ,"3,173    ","1,057    "
Vermont.................................................................................,"11,596    ",--    ,"11,596    ","2,579    ","1,398    ","3,013    ",621    ,964    ,334    ,"2,686    ",624    
,,,,,,,,,,,
Mideast.................................................................................,"11,554    ",3    ,"11,552    ","2,835    ",814    ,"2,665    ",862    ,643    ,425    ,"3,308    ","48,940    "
Delaware.................................................................................,"10,471    ",0    ,"10,471    ","2,054    ","1,330    ","2,546    ",596    ,617    ,373    ,"2,953    ",949    
District of Columbia.................................................................................,"18,600    ",--    ,"18,600    ","3,797    ",232    ,"5,514    ","1,057    ",517    ,864    ,"6,621    ",687    
Maryland.................................................................................,"9,759    ",--    ,"9,759    ","2,139    ","1,057    ","2,030    ",388    ,565    ,442    ,"3,138    ","6,005    "
New Jersey.................................................................................,"10,445    ",1    ,"10,444    ","3,041    ",787    ,"1,893    ",628    ,549    ,396    ,"3,149    ","8,875    "
New York.................................................................................,"13,698    ",--    ,"13,698    ","3,366    ",728    ,"3,314    ","1,189    ",596    ,505    ,"4,000    ","19,642    "
Pennsylvania.................................................................................,"9,576    ",10    ,"9,566    ","2,208    ",842    ,"2,358    ",755    ,826    ,293    ,"2,284    ","12,784    "
,,,,,,,,,,,
Great Lakes.................................................................................,"8,547    ",1    ,"8,546    ","1,873    ",930    ,"1,957    ",677    ,551    ,310    ,"2,247    ","46,820    "
Illinois.................................................................................,"8,691    ",0    ,"8,691    ","2,069    ",740    ,"1,659    ",391    ,742    ,405    ,"2,685    ","12,827    "
Indiana.................................................................................,"7,816    ",0    ,"7,815    ","1,503    ",970    ,"1,925    ",913    ,408    ,189    ,"1,908    ","6,633    "
Michigan.................................................................................,"8,303    ",1    ,"8,303    ","1,703    ","1,178    ","1,701    ",904    ,385    ,252    ,"2,179    ","9,952    "
Ohio.................................................................................,"8,865    ",5    ,"8,861    ","1,991    ",825    ,"2,442    ",684    ,511    ,315    ,"2,093    ","11,635    "
Wisconsin.................................................................................,"8,849    ",--    ,"8,849    ","1,920    ","1,090    ","2,122    ",639    ,658    ,328    ,"2,092    ","5,773    "
,,,,,,,,,,,
Plains.................................................................................,"9,067    ",4    ,"9,063    ","2,012    ",987    ,"1,877    ",867    ,771    ,291    ,"2,257    ","21,177    "
Iowa.................................................................................,"9,760    ",--    ,"9,760    ","2,102    ","1,251    ","1,959    ","1,263    ",826    ,249    ,"2,109    ","3,132    "
Kansas.................................................................................,"8,659    ",0    ,"8,659    ","1,940    ","1,188    ","1,376    ","1,150    ",684    ,271    ,"2,050    ","2,911    "
Minnesota.................................................................................,"10,243    ",0    ,"10,243    ","2,214    ",920    ,"2,759    ",595    ,901    ,345    ,"2,509    ","5,523    "
Missouri.................................................................................,"7,553    ",7    ,"7,546    ","1,694    ",641    ,"1,505    ",997    ,386    ,296    ,"2,028    ","6,087    "
Nebraska.................................................................................,"9,023    ",23    ,"9,001    ","2,377    ","1,276    ","1,339    ",627    ,832    ,259    ,"2,291    ","1,906    "
North Dakota.................................................................................,"12,577    ",--    ,"12,577    ","2,483    ","1,617    ","2,031    ",306    ,"2,387    ",260    ,"3,492    ",754    
South Dakota.................................................................................,"8,102    ",--    ,"8,102    ","1,658    ","1,021    ","1,299    ",323    ,"1,214    ",233    ,"2,354    ",863    
,,,,,,,,,,,
Southeast.................................................................................,"7,667    ",0    ,"7,667    ","1,573    ",754    ,"1,565    ",914    ,491    ,295    ,"2,076    ","82,896    "
Alabama.................................................................................,"8,261    ",--    ,"8,261    ","1,583    ","1,003    ","1,728    ","1,394    ",496    ,257    ,"1,800    ","4,865    "
Arkansas.................................................................................,"7,958    ",0    ,"7,958    ","1,702    ",907    ,"2,312    ",481    ,588    ,228    ,"1,741    ","2,990    "
Florida.................................................................................,"7,048    ",--    ,"7,048    ","1,326    ",523    ,"1,282    ",676    ,500    ,381    ,"2,359    ","20,630    "
Georgia.................................................................................,"6,667    ",--    ,"6,667    ","1,836    ",555    ,"1,143    ",680    ,401    ,259    ,"1,793    ","10,305    "
Kentucky.................................................................................,"8,769    ",--    ,"8,769    ","1,606    ",986    ,"2,526    ",736    ,623    ,172    ,"2,121    ","4,438    "
Louisiana.................................................................................,"8,682    ",--    ,"8,682    ","1,695    ",753    ,"1,916    ",741    ,512    ,342    ,"2,723    ","4,678    "
Mississippi.................................................................................,"8,644    ",--    ,"8,644    ","1,533    ","1,061    ","2,068    ","1,428    ",559    ,253    ,"1,741    ","2,988    "
North Carolina.................................................................................,"7,761    ",--    ,"7,761    ","1,399    ",954    ,"1,406    ","1,498    ",427    ,301    ,"1,777    ","10,157    "
South Carolina.................................................................................,"8,219    ",--    ,"8,219    ","1,737    ",841    ,"1,529    ","1,575    ",372    ,250    ,"1,916    ","4,958    "
Tennessee.................................................................................,"6,779    ",--    ,"6,779    ","1,403    ",558    ,"1,759    ",683    ,335    ,272    ,"1,768    ","6,645    "
Virginia.................................................................................,"8,475    ",0    ,"8,475    ","1,953    ",948    ,"1,370    ",869    ,663    ,282    ,"2,390    ","8,411    "
West Virginia.................................................................................,"8,863    ",--    ,"8,863    ","1,686    ",958    ,"2,593    ",417    ,699    ,212    ,"2,298    ","1,831    "
,,,,,,,,,,,
Southwest.................................................................................,"7,617    ",1    ,"7,616    ","1,723    ",990    ,"1,552    ",720    ,486    ,285    ,"1,859    ","40,903    "
Arizona.................................................................................,"6,602    ",--    ,"6,602    ","1,129    ",859    ,"1,863    ",271    ,352    ,326    ,"1,802    ","6,945    "
New Mexico.................................................................................,"10,461    ",--    ,"10,461    ","1,748    ","1,231    ","3,000    ","1,056    ",467    ,328    ,"2,631    ","2,093    "
Oklahoma.................................................................................,"7,476    ",10    ,"7,466    ","1,503    ","1,028    ","1,696    ",565    ,661    ,261    ,"1,752    ","3,927    "
Texas.................................................................................,"7,676    ",--    ,"7,676    ","1,900    ",999    ,"1,347    ",828    ,497    ,275    ,"1,830    ","27,937    "
,,,,,,,,,,,
Rocky Mountain.................................................................................,"8,422    ",2    ,"8,420    ","1,692    ","1,122    ","1,461    ",739    ,592    ,290    ,"2,522    ","11,892    "
Colorado.................................................................................,"8,553    ",1    ,"8,552    ","1,698    ","1,082    ","1,542    ",577    ,538    ,330    ,"2,786    ","5,541    "
Idaho.................................................................................,"6,542    ",--    ,"6,542    ","1,216    ",658    ,"1,450    ",573    ,500    ,256    ,"1,888    ","1,683    "
Montana.................................................................................,"8,365    ",--    ,"8,365    ","1,767    ",902    ,"1,701    ",491    ,834    ,283    ,"2,387    ","1,041    "
Utah.................................................................................,"7,868    ",--    ,"7,868    ","1,583    ","1,447    ","1,238    ",819    ,512    ,219    ,"2,051    ","3,043    "
Wyoming.................................................................................,"15,573    ",35    ,"15,538    ","3,449    ","1,537    ","1,461    ","2,786    ","1,366    ",400    ,"4,540    ",584    
,,,,,,,,,,,
Far West [2].................................................................................,"10,873    ",53    ,"10,820    ","1,958    ",999    ,"2,598    ","1,167    ",471    ,414    ,"3,215    ","53,515    "
California.................................................................................,"11,418    ",72    ,"11,347    ","2,003    ","1,018    ","2,893    ","1,221    ",437    ,448    ,"3,327    ","39,209    "
Nevada.................................................................................,"6,947    ",2    ,"6,945    ","1,447    ",483    ,"1,222    ",446    ,593    ,404    ,"2,350    ","2,920    "
Oregon.................................................................................,"10,642    ",--    ,"10,642    ","1,746    ","1,224    ","2,509    ","1,018    ",511    ,322    ,"3,312    ","4,091    "
Washington.................................................................................,"9,641    ",1    ,"9,641    ","2,039    ",973    ,"1,615    ","1,244    ",580    ,287    ,"2,903    ","7,295    "
,,,,,,,,,,,
Alaska.................................................................................,"18,398    ",--    ,"18,398    ","3,192    ","1,474    ","3,019    ",953    ,"2,145    ",497    ,"7,119    ",742    
Hawaii.................................................................................,"9,599    ",0    ,"9,599    ","1,486    ",777    ,"1,990    ",818    ,511    ,321    ,"3,696    ","1,428    "
,,,,,,,,,,,
[1] Population data are from the midpoint of the observation year.,,,,,,,,,,,
"[2] Alaska and Hawaii are excluded from the Far West regional totals, but are included in the U.S. totals.",,,,,,,,,,,
,,,,,,,,,,,
"Suggested Citation: US Census Bureau. 2000, updated annually. Annual Survey of State and Local Government Finances, 1977-2017. Compiled by the Urban-Brookings Tax Policy Center. Washington, DC: Urban-Brookings Tax Policy Centers (2016). Date of Access: (30-Mar-2020).",,,,,,,,,,,
,,,,,,,,,,,